<TICKER>,<PER>,<DATE>,<TIME>,<CLOSE>
D,1,20150217,190000,17974.0000000
D,1,20150217,190100,17974.3400000
D,1,20150217,190200,17975.3000000
D,1,20150217,190300,17970.9300000
D,1,20150217,190400,17967.8200000
D,1,20150217,190500,17967.9500000
D,1,20150217,190600,17969.4200000
D,1,20150217,190700,17967.0100000
D,1,20150217,190800,17971.8100000
D,1,20150217,190900,17971.6800000
D,1,20150217,191000,17973.0300000
D,1,20150217,191100,17974.4300000
D,1,20150217,191200,17973.6300000
D,1,20150217,191300,17972.9900000
D,1,20150217,191400,17967.7900000
D,1,20150217,191500,17970.8700000
D,1,20150217,191600,17974.9800000
D,1,20150217,191700,17977.4800000
D,1,20150217,191800,17972.7000000
D,1,20150217,191900,17975.2400000
D,1,20150217,192000,17974.5600000
D,1,20150217,192100,17977.7400000
D,1,20150217,192200,17984.3900000
D,1,20150217,192300,17983.1000000
D,1,20150217,192400,17987.2800000
D,1,20150217,192500,17987.1800000
D,1,20150217,192600,17986.7100000
D,1,20150217,192700,17985.0300000
D,1,20150217,192800,17984.3300000
D,1,20150217,192900,17982.9100000
D,1,20150217,193000,17988.2000000
D,1,20150217,193100,17990.0100000
D,1,20150217,193200,17993.5400000
D,1,20150217,193300,17993.1800000
D,1,20150217,193400,17991.9000000
D,1,20150217,193500,17993.9900000
D,1,20150217,193600,17993.8700000
D,1,20150217,193700,17995.3500000
D,1,20150217,193800,17999.8300000
D,1,20150217,193900,17998.1300000
D,1,20150217,194000,17997.0100000
D,1,20150217,194100,17998.7500000
D,1,20150217,194200,17998.4200000
D,1,20150217,194300,17997.1400000
D,1,20150217,194400,17995.3700000
D,1,20150217,194500,17996.4300000
D,1,20150217,194600,17998.4500000
D,1,20150217,194700,18000.7600000
D,1,20150217,194800,18001.8900000
D,1,20150217,194900,18000.0500000
D,1,20150217,195000,17996.5200000
D,1,20150217,195100,17998.2100000
D,1,20150217,195200,17997.9000000
D,1,20150217,195300,17999.7000000
D,1,20150217,195400,17998.3500000
D,1,20150217,195500,17996.4300000
D,1,20150217,195600,17999.5700000
D,1,20150217,195700,17997.5300000
D,1,20150217,195800,17999.7300000
D,1,20150217,195900,17999.5700000
D,1,20150217,200000,17997.3800000
D,1,20150217,200100,18004.7200000
D,1,20150217,200200,18002.2100000
D,1,20150217,200300,18001.8200000
D,1,20150217,200400,18001.9100000
D,1,20150217,200500,18000.2700000
D,1,20150217,200600,18000.4700000
D,1,20150217,200700,18002.7600000
D,1,20150217,200800,18002.9100000
D,1,20150217,200900,18003.4000000
D,1,20150217,201000,18003.2700000
D,1,20150217,201100,18003.2300000
D,1,20150217,201200,17997.8500000
D,1,20150217,201300,17997.7100000
D,1,20150217,201400,17997.7100000
D,1,20150217,201500,17999.6100000
D,1,20150217,201600,17999.8700000
D,1,20150217,201700,18003.4700000
D,1,20150217,201800,18001.3100000
D,1,20150217,201900,18004.1400000
D,1,20150217,202000,18003.4100000
D,1,20150217,202100,18003.8600000
D,1,20150217,202200,18002.3000000
D,1,20150217,202300,18001.8200000
D,1,20150217,202400,18003.2600000
D,1,20150217,202500,18005.9500000
D,1,20150217,202600,18005.1600000
D,1,20150217,202700,18005.5800000
D,1,20150217,202800,18003.5800000
D,1,20150217,202900,18001.6100000
D,1,20150217,203000,18005.0300000
D,1,20150217,203100,18010.0700000
D,1,20150217,203200,18017.2300000
D,1,20150217,203300,18020.3800000
D,1,20150217,203400,18021.9000000
D,1,20150217,203500,18019.6100000
D,1,20150217,203600,18022.9500000
D,1,20150217,203700,18021.1600000
D,1,20150217,203800,18019.3500000
D,1,20150217,203900,18020.0600000
D,1,20150217,204000,18019.3600000
D,1,20150217,204100,18015.8500000
D,1,20150217,204200,18016.6600000
D,1,20150217,204300,18015.3400000
D,1,20150217,204400,18014.1500000
D,1,20150217,204500,18016.8500000
D,1,20150217,204600,18017.2000000
D,1,20150217,204700,18021.9700000
D,1,20150217,204800,18022.5700000
D,1,20150217,204900,18019.0600000
D,1,20150217,205000,18020.2900000
D,1,20150217,205100,18020.3200000
D,1,20150217,205200,18018.1500000
